updated_on,default_selected,press_sheet_id,unfinished_width,unfinished_height,press_sheet_type_name,press_sheet_weight_name,press_sheet_cost,press_sheet_cost_ratio
2024-05-09 14:23:53.121,False,1179,29.4375,20.75,Felt Weave - White,100# Cover,0.6684,4.64166666666667
2024-05-09 14:33:10.718,False,1006,29.4375,20.75,Felt Weave - White,80# Text,0.3223,2.23819444444444
2024-05-09 14:34:35.289,False,1007,29.4375,20.75,Linen - White,110# Cover,0.7631,5.29930555555556
2024-05-09 14:33:57.849,False,1008,29.4375,20.75,Linen - White,70# Text,0.285,1.97916666666667
2022-12-13 11:35:56.143,False,908,29.5,20.75,Coated Matte - White,150# Cover,0.4833,3.35625
2022-09-26 12:55:19.032,False,896,29.5,20.8125,Coated Matte - White,100# Cover,0.2651,1.84097222222222
2022-09-26 12:49:33.732,True,894,29.4375,20.75,Coated Matte - White,100# Text,0.144,1.0
2022-09-26 12:56:50.937,False,897,29.4375,20.75,Coated Matte - White,120# Cover,0.3053,2.12013888888889
2022-09-26 12:51:08.863,False,895,29.4375,20.75,Coated Matte - White,80# Cover,0.2128,1.47777777777778
2022-09-26 12:41:33.597,False,957,29.4375,20.75,Coated Matte - White,80# Text,0.115,0.798611111111111
2024-05-09 14:43:58.658,False,903,29.4375,20.75,Uncoated 100% Recycled - White,100# Cover,0.7699,5.34652777777778
2024-05-09 14:44:21.841,False,902,29.4375,20.75,Uncoated 100% Recycled - White,130# Cover,0.9097,6.31736111111111
2024-05-09 14:42:41.235,False,905,29.4375,20.75,Uncoated 100% Recycled - White,100# Text,0.3534,2.45416666666667
2024-05-09 14:43:22.750,False,904,29.4375,20.75,Uncoated 100% Recycled - White,80# Cover,0.5201,3.61180555555556
2024-05-21 10:09:49.198,False,360,29.5,20.8,Uncoated Smooth - White,100# Cover,0.3388,2.35277777777778
2024-05-21 10:07:59.180,False,381,29.5,20.8,Uncoated Smooth - White,70# Text,0.1414,0.981944444444445
2024-05-21 10:10:25.063,False,359,29.5,20.8,Uncoated Smooth - White,130# Cover,0.4528,3.14444444444444
2024-05-21 10:09:11.415,False,362,29.5,20.8,Uncoated Smooth - White,100# Text,0.2025,1.40625
2024-05-21 10:07:18.545,False,361,29.5,20.8,Uncoated Smooth - White,80# Cover,0.3019,2.09652777777778
2024-05-21 10:08:35.153,False,363,29.5,20.8,Uncoated Smooth - White,80# Text,0.1627,1.12986111111111
2022-09-20 15:44:21.629,False,1125,29.5,20.8,Coated Semigloss 1 Side (C1S) - White,14 pt.,0.458,3.18055555555556
2022-09-20 15:44:49.116,False,1126,29.5,20.8,Coated Semigloss 1 Side (C1S) - White,18 pt,0.5797,4.02569444444444
2022-09-20 15:43:31.158,False,1124,29.5,20.8,Coated Semigloss 1 Side (C1S) - White,12 pt.,0.4345,3.01736111111111
2023-01-03 10:15:52.475,False,1127,29.5,20.8,Coated Semigloss 1 Side (C1S) - White,24 pt.,0.8433,5.85625
2023-02-24 12:54:45.544,False,929,29.5,20.5,Synthetic - White,10 mil,1.1536,8.01111111111111
2023-02-24 12:50:05.980,False,930,29.5,20.5,Synthetic - White,14 mil,1.8352,12.7444444444444
2024-05-09 14:29:37.486,False,1009,29.5,20.75,Uncoated Smooth - Natural,100# Cover,0.92,6.38888888888889
2022-07-28 10:57:03.670,False,1017,29.5,20.75,Uncoated Smooth - Natural,80# Cover,0.4911,3.41041666666667
2024-05-09 14:30:37.989,False,1010,29.5,20.75,Uncoated Smooth - Natural,80# Text,0.3756,2.60833333333333
2022-09-20 15:49:02.229,False,436,29.5,20.8,Coated Semigloss 2 Sides (C2S) - White,14 pt.,0.3894,2.70416666666667
2022-09-20 15:48:29.160,False,476,29.5,20.8,Coated Semigloss 2 Sides (C2S) - White,18 pt,0.4612,3.20277777777778
2022-09-20 15:49:29.662,False,435,29.5,20.8,Coated Semigloss 2 Sides (C2S) - White,12 pt.,0.3457,2.40069444444444
2022-09-20 15:47:44.285,False,861,29.5,20.8,Coated Semigloss 2 Sides (C2S) - White,24 pt.,0.9191,6.38263888888889
2024-05-09 14:31:52.512,False,1011,29.5,20.75,Felt Weave - Natural,100# Cover,0.6777,4.70625
2016-11-09 16:58:20.587,False,744,29.5,20.75,Buy-out Coated,-,0.0,0.0
2022-09-26 12:38:00.680,False,891,29.5,20.8,Coated Gloss - White,100# Cover,0.2651,1.84097222222222
2022-09-26 12:34:37.139,False,956,29.4375,20.75,Coated Gloss - White,100# Text,0.144,1.0
2022-09-26 12:39:45.583,False,892,29.5,20.8125,Coated Gloss - White,120# Cover,0.3053,2.12013888888889
2022-09-26 12:33:54.744,False,890,29.4375,20.75,Coated Gloss - White,80# Cover,0.2128,1.47777777777778
2022-09-26 12:35:06.207,False,958,29.4375,20.75,Coated Gloss - White,80# Text,0.115,0.798611111111111
2022-06-27 12:49:19.947,False,1014,29.4375,20.75,Coated Metallic - Ice Silver,110# Cover,1.6258,11.2902777777778
2022-06-27 12:50:19.892,False,1015,29.45,20.75,Coated Metallic - Ice Silver,80# Text,0.6439,4.47152777777778
2019-04-30 07:34:12.873,False,1058,29.5,20.8125,Uncoated - White,60# Text,0.0791,0.549305555555556
2024-05-09 14:28:39.074,False,1012,29.5,20.75,Linen - Natural,100# Cover,0.9683,6.72430555555556
2016-11-09 16:58:53.359,False,745,29.5,20.75,Buy-out Uncoated,-,0.0,0.0
2022-06-01 14:13:53.427,False,1029,29.5,20.5,Rigid Vinyl - White,10 mil,2.1901,15.2090277777778
